,year,idleshare_all_all_summer,onlyschoolshare_all_all_summer,onlyworkshare_all_all_summer,bothshare_all_all_summer,idleshare_male_all_summer,onlyschoolshare_male_all_summer,onlyworkshare_male_all_summer,bothshare_male_all_summer,idleshare_fem_all_summer,onlyschoolshare_fem_all_summer,onlyworkshare_fem_all_summer,bothshare_fem_all_summer,idleshare_all_white_summer,onlyschoolshare_all_white_summer,onlyworkshare_all_white_summer,bothshare_all_white_summer,idleshare_all_black_summer,onlyschoolshare_all_black_summer,onlyworkshare_all_black_summer,bothshare_all_black_summer,idleshare_all_hisp_summer,onlyschoolshare_all_hisp_summer,onlyworkshare_all_hisp_summer,bothshare_all_hisp_summer,idleshare_male_white_summer,onlyschoolshare_male_white_summer,onlyworkshare_male_white_summer,bothshare_male_white_summer,idleshare_male_black_summer,onlyschoolshare_male_black_summer,onlyworkshare_male_black_summer,bothshare_male_black_summer,idleshare_male_hisp_summer,onlyschoolshare_male_hisp_summer,onlyworkshare_male_hisp_summer,bothshare_male_hisp_summer,idleshare_fem_white_summer,onlyschoolshare_fem_white_summer,onlyworkshare_fem_white_summer,bothshare_fem_white_summer,idleshare_fem_black_summer,onlyschoolshare_fem_black_summer,onlyworkshare_fem_black_summer,bothshare_fem_black_summer,idleshare_fem_hisp_summer,onlyschoolshare_fem_hisp_summer,onlyworkshare_fem_hisp_summer,bothshare_fem_hisp_summer,idleshare_all_all_ay,onlyschoolshare_all_all_ay,onlyworkshare_all_all_ay,bothshare_all_all_ay,idleshare_male_all_ay,onlyschoolshare_male_all_ay,onlyworkshare_male_all_ay,bothshare_male_all_ay,idleshare_fem_all_ay,onlyschoolshare_fem_all_ay,onlyworkshare_fem_all_ay,bothshare_fem_all_ay,idleshare_all_white_ay,onlyschoolshare_all_white_ay,onlyworkshare_all_white_ay,bothshare_all_white_ay,idleshare_all_black_ay,onlyschoolshare_all_black_ay,onlyworkshare_all_black_ay,bothshare_all_black_ay,idleshare_all_hisp_ay,onlyschoolshare_all_hisp_ay,onlyworkshare_all_hisp_ay,bothshare_all_hisp_ay,idleshare_male_white_ay,onlyschoolshare_male_white_ay,onlyworkshare_male_white_ay,bothshare_male_white_ay,idleshare_male_black_ay,onlyschoolshare_male_black_ay,onlyworkshare_male_black_ay,bothshare_male_black_ay,idleshare_male_hisp_ay,onlyschoolshare_male_hisp_ay,onlyworkshare_male_hisp_ay,bothshare_male_hisp_ay,idleshare_fem_white_ay,onlyschoolshare_fem_white_ay,onlyworkshare_fem_white_ay,bothshare_fem_white_ay,idleshare_fem_black_ay,onlyschoolshare_fem_black_ay,onlyworkshare_fem_black_ay,bothshare_fem_black_ay,idleshare_fem_hisp_ay,onlyschoolshare_fem_hisp_ay,onlyworkshare_fem_hisp_ay,bothshare_fem_hisp_ay
11,2010,0.197876826,0.383641779,0.254023671,0.164457709,0.19573316,0.384991974,0.26837334,0.150901541,0.200086147,0.38225022,0.239234626,0.178428993,0.180226877,0.342070699,0.284193009,0.193509415,0.225500718,0.458882928,0.194107622,0.121508725,0.220757321,0.424703866,0.234746814,0.119791999,0.184291735,0.349187255,0.294099361,0.172421634,0.222366601,0.440436214,0.209717348,0.127479851,0.202368394,0.42206046,0.262902498,0.112668663,0.175991789,0.33465606,0.27387175,0.215480387,0.228494287,0.476502478,0.179197878,0.115805358,0.240156695,0.427492559,0.205044001,0.127306744,0.055661254,0.604068279,0.106020607,0.23424986,0.052176416,0.609000444,0.122010849,0.216812283,0.059252907,0.598984897,0.089540243,0.252221912,0.046920255,0.570351779,0.104930878,0.277797073,0.074959718,0.666404307,0.095024645,0.163611323,0.069424517,0.619349718,0.131208554,0.180017203,0.045677543,0.582008123,0.120815031,0.251499295,0.074747354,0.664023221,0.10111136,0.160118088,0.054744955,0.612979531,0.155697927,0.176577568,0.048214078,0.558216035,0.08839342,0.305176437,0.07516554,0.668712139,0.089125343,0.166997001,0.084930554,0.626078546,0.105340399,0.183650479
12,2011,0.211039856,0.382270932,0.250174761,0.156514421,0.208702222,0.384833157,0.261569619,0.144895002,0.213488504,0.379587054,0.238238856,0.16868557,0.187172994,0.334809005,0.283149183,0.194868818,0.239863083,0.452002198,0.209895223,0.098239489,0.23798719,0.444518358,0.210385919,0.107108533,0.185945496,0.340690285,0.29339087,0.179973349,0.242135078,0.449303627,0.206070349,0.102490939,0.223819554,0.444487721,0.237511307,0.094181418,0.188447207,0.32870388,0.272517681,0.210331231,0.237714738,0.454553902,0.213511929,0.094219431,0.254062235,0.444553077,0.179608658,0.121776022,0.051533949,0.623551071,0.101048015,0.22386694,0.047821324,0.633181691,0.113852099,0.205144867,0.055422608,0.613463879,0.087636821,0.243476719,0.042483076,0.587459266,0.100248203,0.269809425,0.064299725,0.689045131,0.09065716,0.155997977,0.068656012,0.649132907,0.119286381,0.162924677,0.039554819,0.606431842,0.109617583,0.244395763,0.066507317,0.686552107,0.103256717,0.143683851,0.057227392,0.643829226,0.14210324,0.156840175,0.045528088,0.567730308,0.09050525,0.296236366,0.062122434,0.691503942,0.078230545,0.168143079,0.081634156,0.655155778,0.093375951,0.169834137
13,2012,0.195551097,0.390467167,0.244122475,0.16985926,0.194192439,0.387407541,0.258715004,0.159685031,0.196963608,0.393648118,0.228951424,0.18043685,0.178791359,0.350949168,0.271849513,0.198409975,0.213722587,0.435323507,0.213956654,0.136997238,0.21930933,0.428877622,0.216941163,0.134871885,0.177157477,0.351795256,0.282274872,0.188772395,0.240203172,0.43523863,0.208564252,0.115993954,0.198514387,0.416720629,0.258122414,0.126642585,0.180507019,0.350060701,0.260902405,0.208529875,0.188061208,0.435405791,0.219182238,0.157350764,0.241298929,0.441732973,0.173394129,0.143573955,0.051327031,0.624418557,0.099674679,0.224571884,0.048277915,0.634091198,0.111451603,0.206163809,0.054496996,0.614362478,0.087430984,0.243709534,0.042803947,0.592002034,0.101961099,0.26321876,0.065272234,0.676271975,0.087795019,0.170660794,0.066790625,0.641510546,0.112920739,0.178778097,0.041599341,0.605611622,0.112221792,0.240539551,0.066861369,0.687080324,0.090017065,0.15604122,0.057175573,0.640278757,0.135406166,0.1671395,0.044059116,0.577821255,0.091269732,0.286849886,0.063651346,0.66524756,0.085528567,0.18557252,0.076961368,0.642813504,0.089135811,0.191089332
14,2013,0.226705596,0.35827592,0.271405548,0.143612936,0.224192381,0.355803579,0.285532415,0.134471625,0.229306579,0.360834628,0.256785333,0.153073475,0.209698826,0.323687613,0.304007351,0.162606224,0.254490107,0.399360925,0.231144354,0.115004607,0.245893702,0.38169843,0.244196087,0.128211752,0.21181412,0.327365637,0.31181705,0.149003193,0.271108359,0.399332225,0.226191744,0.103367694,0.22138755,0.366152704,0.284177065,0.128282681,0.207462803,0.319799662,0.295751959,0.176985562,0.238681465,0.399388254,0.235855684,0.126074582,0.271608472,0.39801088,0.202243313,0.128137335,0.06219811,0.61085546,0.11368303,0.213263422,0.057245623,0.623408735,0.125631735,0.193713903,0.067324892,0.597860336,0.101313822,0.233500957,0.055322163,0.575175524,0.116232552,0.253269762,0.071072519,0.658182502,0.106162041,0.164582938,0.074183188,0.634040952,0.124541931,0.167233944,0.053138409,0.591670215,0.126973882,0.228217483,0.068680994,0.66793263,0.105750225,0.157636121,0.06035842,0.646758914,0.144304767,0.148577914,0.057610035,0.557894409,0.104979075,0.279516518,0.073422544,0.648601532,0.106566712,0.17140922,0.088688739,0.620696664,0.103805929,0.186808676
15,2014,0.227915943,0.36680603,0.263235986,0.142042026,0.229116961,0.364281535,0.27411288,0.132488608,0.22667633,0.369411618,0.25200969,0.151902348,0.215116173,0.326293111,0.294630408,0.163960308,0.260667861,0.419527382,0.216652974,0.103151783,0.233117417,0.408926964,0.236171618,0.121783987,0.214627087,0.319269955,0.311055809,0.155047134,0.263711572,0.431468099,0.218982637,0.085837677,0.238730267,0.403976679,0.244593292,0.112699769,0.215631142,0.333687633,0.277336448,0.173344791,0.257690877,0.407848358,0.214374378,0.120086372,0.227245256,0.414105982,0.22736086,0.131287888,0.061042622,0.611472785,0.113629557,0.213855058,0.060425065,0.621062279,0.127186134,0.191326514,0.06168016,0.60157299,0.099634372,0.237112492,0.055881433,0.581662714,0.115318798,0.247137085,0.0719385,0.642986059,0.109850176,0.175225273,0.070012383,0.629617274,0.122854672,0.177515671,0.056443676,0.595047653,0.127998233,0.220510408,0.074792512,0.662474871,0.108975731,0.153756887,0.062866926,0.624845803,0.146985054,0.165302187,0.055295635,0.567717016,0.102108188,0.274879187,0.06912718,0.623788774,0.110711545,0.196372524,0.077491887,0.634611785,0.097596221,0.190300137
16,2015,0.224349961,0.368871212,0.257530391,0.149248451,0.226405054,0.365967184,0.267110497,0.14051725,0.222234815,0.371860087,0.247670323,0.158234775,0.215072185,0.325532347,0.286784291,0.172611192,0.241819382,0.414100021,0.215369552,0.128711045,0.230966747,0.415278673,0.236580387,0.117174178,0.217017323,0.322152853,0.296464056,0.164365783,0.257463902,0.434044808,0.200744107,0.10774719,0.224235833,0.406267911,0.25392884,0.115567416,0.213034034,0.329073429,0.276641637,0.181250885,0.227368593,0.39567709,0.228879049,0.148075283,0.237934247,0.424606204,0.218622133,0.118837416,0.061198309,0.607398093,0.114725567,0.216678053,0.062341545,0.610450268,0.127518386,0.199689776,0.060021412,0.604255974,0.101556011,0.234166607,0.052895375,0.579173684,0.114964887,0.252966017,0.074920021,0.64037931,0.11354968,0.171150982,0.074539155,0.623329341,0.126962319,0.17516917,0.054840159,0.585426807,0.127808034,0.231925026,0.080850437,0.651212215,0.108894646,0.159042716,0.069142669,0.614412844,0.152930617,0.163513854,0.050856646,0.572618604,0.101501346,0.275023431,0.069173746,0.629882813,0.118060179,0.182883292,0.080130383,0.632567644,0.100056857,0.187245101
17,2016,0.22960192,0.355775177,0.275780231,0.138842687,0.223489776,0.355192482,0.291543335,0.129774421,0.235888273,0.356374472,0.259567797,0.148169458,0.21827434,0.306708306,0.312659264,0.16235812,0.229664803,0.403317988,0.239383653,0.127633572,0.254525512,0.414190978,0.22890842,0.102375075,0.221628264,0.308011293,0.317825735,0.152534723,0.221440896,0.418883562,0.254735827,0.104939722,0.233645126,0.404854,0.259205967,0.102294907,0.214770257,0.305346966,0.307261497,0.17262128,0.237258971,0.388944298,0.225207046,0.148589686,0.276107073,0.423841476,0.19759351,0.102457941,0.05945022,0.605063438,0.112083375,0.223402977,0.058300495,0.611950696,0.123535514,0.206213295,0.060632803,0.597979367,0.100303963,0.24108389,0.05578303,0.570811331,0.114267401,0.259138227,0.062445626,0.647788703,0.107831411,0.181934252,0.070386551,0.62599349,0.119965643,0.183654308,0.055686131,0.577793002,0.124427073,0.242093801,0.06079042,0.668300509,0.11185389,0.159055158,0.067985632,0.623425364,0.136666149,0.171922848,0.055884033,0.563533843,0.103677236,0.276904851,0.064054459,0.627851486,0.103921622,0.204172432,0.072868422,0.628648221,0.102702007,0.195781335
18,2017,0.212216288,0.374444902,0.267609954,0.145728841,0.216136202,0.375027806,0.279217988,0.129618004,0.208186477,0.373845637,0.255676568,0.162291318,0.203176573,0.338946849,0.293355703,0.164520875,0.223652482,0.392370939,0.248031124,0.135945469,0.216310441,0.427761972,0.234105423,0.121822171,0.208947897,0.339488536,0.30677411,0.144789472,0.243623003,0.408753902,0.243609503,0.104013585,0.204776198,0.423371732,0.2527349,0.119117185,0.19712463,0.338378817,0.279284894,0.185211644,0.204355061,0.376540154,0.25230369,0.16680108,0.228217587,0.43229416,0.214873657,0.124614604,0.057806533,0.605373204,0.112725936,0.224094346,0.056815796,0.614258826,0.124736898,0.204188466,0.058825031,0.596238554,0.100378454,0.244557947,0.051014613,0.581407189,0.112859473,0.254718721,0.070945308,0.627760708,0.112657085,0.188636884,0.06586884,0.619184911,0.124364756,0.190581515,0.048968181,0.594968975,0.120895356,0.235167474,0.082868233,0.636266649,0.120950282,0.159914851,0.057871606,0.6256513,0.146646678,0.169830397,0.053156652,0.567211807,0.104448177,0.27518335,0.059377041,0.619507849,0.104610577,0.216504544,0.074117199,0.61251539,0.101383135,0.211984262
19,2018,0.201728821,0.393936396,0.253078252,0.151256517,0.201519355,0.393612027,0.269878238,0.134990379,0.201943889,0.394269437,0.235829368,0.167957306,0.185298502,0.350124389,0.290290415,0.174286693,0.216296867,0.434958518,0.220716298,0.128028318,0.221303716,0.433635026,0.218681589,0.126379684,0.188592717,0.352421224,0.303896904,0.155089155,0.218153656,0.42814973,0.235878289,0.117818333,0.19983843,0.444494367,0.247241959,0.108425237,0.181831181,0.347706884,0.275968879,0.19449307,0.21453622,0.441414803,0.20633924,0.137709752,0.2434282,0.422442168,0.189244151,0.14488548,0.060173761,0.600732446,0.115975134,0.223118663,0.061819397,0.611486197,0.129326746,0.197367683,0.058483955,0.589690089,0.102265179,0.249560773,0.052106872,0.577928662,0.114251509,0.255712986,0.079145938,0.604912937,0.13023898,0.185702175,0.066667207,0.609540045,0.125019953,0.198772803,0.0540484,0.591720581,0.127641127,0.226589903,0.084527016,0.622099459,0.137439862,0.155933663,0.06584052,0.619149506,0.142564192,0.172445789,0.050077293,0.563511252,0.100254677,0.286156803,0.073935375,0.588270903,0.123266265,0.214527443,0.067519382,0.599634349,0.106934801,0.225911483
20,2019,0.18075484,0.392376691,0.262012899,0.16485557,0.185635045,0.387198716,0.274664074,0.152502164,0.175758272,0.397678107,0.249060094,0.177503526,0.167569667,0.344718784,0.295761764,0.19194977,0.194955438,0.440767318,0.236928716,0.127348512,0.191954643,0.432709336,0.230900168,0.144435853,0.173714727,0.343154848,0.306516111,0.176614344,0.215708658,0.438889563,0.23589313,0.109508663,0.1870583,0.413329154,0.261595756,0.13801679,0.161117136,0.346360981,0.284469396,0.208052486,0.174410418,0.442626268,0.237953916,0.145009413,0.196978912,0.452595919,0.199402511,0.151022643,0.058471482,0.601495206,0.118959777,0.221073523,0.059496783,0.608865261,0.12974745,0.201890483,0.057421554,0.593948126,0.107912987,0.240717337,0.055071995,0.572771192,0.118912563,0.253244251,0.070191488,0.618135095,0.127489969,0.184183478,0.063070714,0.613834381,0.131404251,0.191690624,0.057031319,0.583340347,0.131546885,0.22808145,0.069421373,0.636570096,0.137914225,0.156094342,0.062045898,0.607994735,0.141764343,0.18819502,0.053027987,0.561745226,0.105732203,0.279494584,0.070942283,0.600162506,0.117327206,0.211567983,0.064122319,0.619826674,0.120773405,0.195277587
21,2020,0.21533151,0.398628712,0.233766958,0.15227282,0.217152074,0.39505747,0.24756068,0.140229791,0.213471472,0.40227741,0.21967417,0.164576948,0.200016513,0.357780218,0.267940909,0.17426236,0.238376781,0.440938771,0.180932343,0.139752105,0.220313162,0.430347651,0.221178606,0.128160581,0.199940607,0.360576749,0.278828353,0.160654292,0.26116994,0.441297024,0.192022771,0.105510265,0.220611826,0.415412784,0.237818062,0.126157314,0.200096682,0.354826689,0.256442249,0.188634381,0.216027215,0.440587461,0.170057759,0.17332755,0.220007882,0.44561252,0.204171494,0.130208105,0.070801444,0.605021179,0.115300745,0.20887664,0.073757067,0.603072703,0.133205727,0.189964473,0.067780584,0.60701263,0.097000629,0.228206158,0.065825097,0.579300761,0.115284719,0.239589438,0.084677614,0.61853081,0.108284779,0.188506812,0.076324545,0.609544218,0.138481051,0.175650194,0.067933835,0.579627395,0.137938812,0.21449998,0.091253944,0.631824732,0.118822269,0.158099025,0.080068067,0.59534055,0.155219823,0.16937156,0.06360653,0.57895714,0.091450736,0.265985608,0.078428939,0.605899155,0.098272301,0.217399582,0.072495215,0.624073446,0.121358566,0.182072744
