year,idleshare_all_all,onlyworkshare_all_all,onlyschoolshare_all_all,bothshare_all_all,idleshare_male_all,onlyworkshare_male_all,onlyschoolshare_male_all,bothshare_male_all,idleshare_fem_all,onlyworkshare_fem_all,onlyschoolshare_fem_all,bothshare_fem_all,idleshare_all_white,onlyworkshare_all_white,onlyschoolshare_all_white,bothshare_all_white,idleshare_all_black,onlyworkshare_all_black,onlyschoolshare_all_black,bothshare_all_black,idleshare_all_hisp,onlyworkshare_all_hisp,onlyschoolshare_all_hisp,bothshare_all_hisp,idleshare_male_white,onlyworkshare_male_white,onlyschoolshare_male_white,bothshare_male_white,idleshare_male_black,onlyworkshare_male_black,onlyschoolshare_male_black,bothshare_male_black,idleshare_male_hisp,onlyworkshare_male_hisp,onlyschoolshare_male_hisp,bothshare_male_hisp,idleshare_fem_white,onlyworkshare_fem_white,onlyschoolshare_fem_white,bothshare_fem_white,idleshare_fem_black,onlyworkshare_fem_black,onlyschoolshare_fem_black,bothshare_fem_black,idleshare_fem_hisp,onlyworkshare_fem_hisp,onlyschoolshare_fem_hisp,bothshare_fem_hisp
2010,0.055661254,0.106020607,0.604068279,0.23424986,0.052176416,0.122010849,0.609000444,0.216812283,0.059252907,0.089540243,0.598984897,0.252221912,0.046920255,0.104930878,0.570351779,0.277797073,0.074959718,0.095024645,0.666404307,0.163611323,0.069424517,0.131208554,0.619349718,0.180017203,0.045677543,0.120815031,0.582008123,0.251499295,0.074747354,0.10111136,0.664023221,0.160118088,0.054744955,0.155697927,0.612979531,0.176577568,0.048214078,0.08839342,0.558216035,0.305176437,0.07516554,0.089125343,0.668712139,0.166997001,0.084930554,0.105340399,0.626078546,0.183650479
2011,0.051533949,0.101048015,0.623551071,0.22386694,0.047821324,0.113852099,0.633181691,0.205144867,0.055422608,0.087636821,0.613463879,0.243476719,0.042483076,0.100248203,0.587459266,0.269809425,0.064299725,0.09065716,0.689045131,0.155997977,0.068656012,0.119286381,0.649132907,0.162924677,0.039554819,0.109617583,0.606431842,0.244395763,0.066507317,0.103256717,0.686552107,0.143683851,0.057227392,0.14210324,0.643829226,0.156840175,0.045528088,0.09050525,0.567730308,0.296236366,0.062122434,0.078230545,0.691503942,0.168143079,0.081634156,0.093375951,0.655155778,0.169834137
2012,0.051327031,0.099674679,0.624418557,0.224571884,0.048277915,0.111451603,0.634091198,0.206163809,0.054496996,0.087430984,0.614362478,0.243709534,0.042803947,0.101961099,0.592002034,0.26321876,0.065272234,0.087795019,0.676271975,0.170660794,0.066790625,0.112920739,0.641510546,0.178778097,0.041599341,0.112221792,0.605611622,0.240539551,0.066861369,0.090017065,0.687080324,0.15604122,0.057175573,0.135406166,0.640278757,0.1671395,0.044059116,0.091269732,0.577821255,0.286849886,0.063651346,0.085528567,0.66524756,0.18557252,0.076961368,0.089135811,0.642813504,0.191089332
2013,0.06219811,0.11368303,0.61085546,0.213263422,0.057245623,0.125631735,0.623408735,0.193713903,0.067324892,0.101313822,0.597860336,0.233500957,0.055322163,0.116232552,0.575175524,0.253269762,0.071072519,0.106162041,0.658182502,0.164582938,0.074183188,0.124541931,0.634040952,0.167233944,0.053138409,0.126973882,0.591670215,0.228217483,0.068680994,0.105750225,0.66793263,0.157636121,0.06035842,0.144304767,0.646758914,0.148577914,0.057610035,0.104979075,0.557894409,0.279516518,0.073422544,0.106566712,0.648601532,0.17140922,0.088688739,0.103805929,0.620696664,0.186808676
2014,0.061042622,0.113629557,0.611472785,0.213855058,0.060425065,0.127186134,0.621062279,0.191326514,0.06168016,0.099634372,0.60157299,0.237112492,0.055881433,0.115318798,0.581662714,0.247137085,0.0719385,0.109850176,0.642986059,0.175225273,0.070012383,0.122854672,0.629617274,0.177515671,0.056443676,0.127998233,0.595047653,0.220510408,0.074792512,0.108975731,0.662474871,0.153756887,0.062866926,0.146985054,0.624845803,0.165302187,0.055295635,0.102108188,0.567717016,0.274879187,0.06912718,0.110711545,0.623788774,0.196372524,0.077491887,0.097596221,0.634611785,0.190300137
2015,0.061198309,0.114725567,0.607398093,0.216678053,0.062341545,0.127518386,0.610450268,0.199689776,0.060021412,0.101556011,0.604255974,0.234166607,0.052895375,0.114964887,0.579173684,0.252966017,0.074920021,0.11354968,0.64037931,0.171150982,0.074539155,0.126962319,0.623329341,0.17516917,0.054840159,0.127808034,0.585426807,0.231925026,0.080850437,0.108894646,0.651212215,0.159042716,0.069142669,0.152930617,0.614412844,0.163513854,0.050856646,0.101501346,0.572618604,0.275023431,0.069173746,0.118060179,0.629882813,0.182883292,0.080130383,0.100056857,0.632567644,0.187245101
2016,0.05945022,0.112083375,0.605063438,0.223402977,0.058300495,0.123535514,0.611950696,0.206213295,0.060632803,0.100303963,0.597979367,0.24108389,0.05578303,0.114267401,0.570811331,0.259138227,0.062445626,0.107831411,0.647788703,0.181934252,0.070386551,0.119965643,0.62599349,0.183654308,0.055686131,0.124427073,0.577793002,0.242093801,0.06079042,0.11185389,0.668300509,0.159055158,0.067985632,0.136666149,0.623425364,0.171922848,0.055884033,0.103677236,0.563533843,0.276904851,0.064054459,0.103921622,0.627851486,0.204172432,0.072868422,0.102702007,0.628648221,0.195781335
2017,0.057806533,0.112725936,0.605373204,0.224094346,0.056815796,0.124736898,0.614258826,0.204188466,0.058825031,0.100378454,0.596238554,0.244557947,0.051014613,0.112859473,0.581407189,0.254718721,0.070945308,0.112657085,0.627760708,0.188636884,0.06586884,0.124364756,0.619184911,0.190581515,0.048968181,0.120895356,0.594968975,0.235167474,0.082868233,0.120950282,0.636266649,0.159914851,0.057871606,0.146646678,0.6256513,0.169830397,0.053156652,0.104448177,0.567211807,0.27518335,0.059377041,0.104610577,0.619507849,0.216504544,0.074117199,0.101383135,0.61251539,0.211984262
2018,0.060173761,0.115975134,0.600732446,0.223118663,0.061819397,0.129326746,0.611486197,0.197367683,0.058483955,0.102265179,0.589690089,0.249560773,0.052106872,0.114251509,0.577928662,0.255712986,0.079145938,0.13023898,0.604912937,0.185702175,0.066667207,0.125019953,0.609540045,0.198772803,0.0540484,0.127641127,0.591720581,0.226589903,0.084527016,0.137439862,0.622099459,0.155933663,0.06584052,0.142564192,0.619149506,0.172445789,0.050077293,0.100254677,0.563511252,0.286156803,0.073935375,0.123266265,0.588270903,0.214527443,0.067519382,0.106934801,0.599634349,0.225911483
2019,0.058471482,0.118959777,0.601495206,0.221073523,0.059496783,0.12974745,0.608865261,0.201890483,0.057421554,0.107912987,0.593948126,0.240717337,0.055071995,0.118912563,0.572771192,0.253244251,0.070191488,0.127489969,0.618135095,0.184183478,0.063070714,0.131404251,0.613834381,0.191690624,0.057031319,0.131546885,0.583340347,0.22808145,0.069421373,0.137914225,0.636570096,0.156094342,0.062045898,0.141764343,0.607994735,0.18819502,0.053027987,0.105732203,0.561745226,0.279494584,0.070942283,0.117327206,0.600162506,0.211567983,0.064122319,0.120773405,0.619826674,0.195277587
2020,0.070801444,0.115300745,0.605021179,0.20887664,0.073757067,0.133205727,0.603072703,0.189964473,0.067780584,0.097000629,0.60701263,0.228206158,0.065825097,0.115284719,0.579300761,0.239589438,0.084677614,0.108284779,0.61853081,0.188506812,0.076324545,0.138481051,0.609544218,0.175650194,0.067933835,0.137938812,0.579627395,0.21449998,0.091253944,0.118822269,0.631824732,0.158099025,0.080068067,0.155219823,0.59534055,0.16937156,0.06360653,0.091450736,0.57895714,0.265985608,0.078428939,0.098272301,0.605899155,0.217399582,0.072495215,0.121358566,0.624073446,0.182072744
