year,idleshare_all_all,onlyworkshare_all_all,onlyschoolshare_all_all,bothshare_all_all,idleshare_male_all,onlyworkshare_male_all,onlyschoolshare_male_all,bothshare_male_all,idleshare_fem_all,onlyworkshare_fem_all,onlyschoolshare_fem_all,bothshare_fem_all,idleshare_all_white,onlyworkshare_all_white,onlyschoolshare_all_white,bothshare_all_white,idleshare_all_black,onlyworkshare_all_black,onlyschoolshare_all_black,bothshare_all_black,idleshare_all_hisp,onlyworkshare_all_hisp,onlyschoolshare_all_hisp,bothshare_all_hisp,idleshare_male_white,onlyworkshare_male_white,onlyschoolshare_male_white,bothshare_male_white,idleshare_male_black,onlyworkshare_male_black,onlyschoolshare_male_black,bothshare_male_black,idleshare_male_hisp,onlyworkshare_male_hisp,onlyschoolshare_male_hisp,bothshare_male_hisp,idleshare_fem_white,onlyworkshare_fem_white,onlyschoolshare_fem_white,bothshare_fem_white,idleshare_fem_black,onlyworkshare_fem_black,onlyschoolshare_fem_black,bothshare_fem_black,idleshare_fem_hisp,onlyworkshare_fem_hisp,onlyschoolshare_fem_hisp,bothshare_fem_hisp
2010,0.197876826,0.254023671,0.383641779,0.164457709,0.19573316,0.26837334,0.384991974,0.150901541,0.200086147,0.239234626,0.38225022,0.178428993,0.180226877,0.284193009,0.342070699,0.193509415,0.225500718,0.194107622,0.458882928,0.121508725,0.220757321,0.234746814,0.424703866,0.119791999,0.184291735,0.294099361,0.349187255,0.172421634,0.222366601,0.209717348,0.440436214,0.127479851,0.202368394,0.262902498,0.42206046,0.112668663,0.175991789,0.27387175,0.33465606,0.215480387,0.228494287,0.179197878,0.476502478,0.115805358,0.240156695,0.205044001,0.427492559,0.127306744
2011,0.211039856,0.250174761,0.382270932,0.156514421,0.208702222,0.261569619,0.384833157,0.144895002,0.213488504,0.238238856,0.379587054,0.16868557,0.187172994,0.283149183,0.334809005,0.194868818,0.239863083,0.209895223,0.452002198,0.098239489,0.23798719,0.210385919,0.444518358,0.107108533,0.185945496,0.29339087,0.340690285,0.179973349,0.242135078,0.206070349,0.449303627,0.102490939,0.223819554,0.237511307,0.444487721,0.094181418,0.188447207,0.272517681,0.32870388,0.210331231,0.237714738,0.213511929,0.454553902,0.094219431,0.254062235,0.179608658,0.444553077,0.121776022
2012,0.195551097,0.244122475,0.390467167,0.16985926,0.194192439,0.258715004,0.387407541,0.159685031,0.196963608,0.228951424,0.393648118,0.18043685,0.178791359,0.271849513,0.350949168,0.198409975,0.213722587,0.213956654,0.435323507,0.136997238,0.21930933,0.216941163,0.428877622,0.134871885,0.177157477,0.282274872,0.351795256,0.188772395,0.240203172,0.208564252,0.43523863,0.115993954,0.198514387,0.258122414,0.416720629,0.126642585,0.180507019,0.260902405,0.350060701,0.208529875,0.188061208,0.219182238,0.435405791,0.157350764,0.241298929,0.173394129,0.441732973,0.143573955
2013,0.226705596,0.271405548,0.35827592,0.143612936,0.224192381,0.285532415,0.355803579,0.134471625,0.229306579,0.256785333,0.360834628,0.153073475,0.209698826,0.304007351,0.323687613,0.162606224,0.254490107,0.231144354,0.399360925,0.115004607,0.245893702,0.244196087,0.38169843,0.128211752,0.21181412,0.31181705,0.327365637,0.149003193,0.271108359,0.226191744,0.399332225,0.103367694,0.22138755,0.284177065,0.366152704,0.128282681,0.207462803,0.295751959,0.319799662,0.176985562,0.238681465,0.235855684,0.399388254,0.126074582,0.271608472,0.202243313,0.39801088,0.128137335
2014,0.227915943,0.263235986,0.36680603,0.142042026,0.229116961,0.27411288,0.364281535,0.132488608,0.22667633,0.25200969,0.369411618,0.151902348,0.215116173,0.294630408,0.326293111,0.163960308,0.260667861,0.216652974,0.419527382,0.103151783,0.233117417,0.236171618,0.408926964,0.121783987,0.214627087,0.311055809,0.319269955,0.155047134,0.263711572,0.218982637,0.431468099,0.085837677,0.238730267,0.244593292,0.403976679,0.112699769,0.215631142,0.277336448,0.333687633,0.173344791,0.257690877,0.214374378,0.407848358,0.120086372,0.227245256,0.22736086,0.414105982,0.131287888
2015,0.224349961,0.257530391,0.368871212,0.149248451,0.226405054,0.267110497,0.365967184,0.14051725,0.222234815,0.247670323,0.371860087,0.158234775,0.215072185,0.286784291,0.325532347,0.172611192,0.241819382,0.215369552,0.414100021,0.128711045,0.230966747,0.236580387,0.415278673,0.117174178,0.217017323,0.296464056,0.322152853,0.164365783,0.257463902,0.200744107,0.434044808,0.10774719,0.224235833,0.25392884,0.406267911,0.115567416,0.213034034,0.276641637,0.329073429,0.181250885,0.227368593,0.228879049,0.39567709,0.148075283,0.237934247,0.218622133,0.424606204,0.118837416
2016,0.22960192,0.275780231,0.355775177,0.138842687,0.223489776,0.291543335,0.355192482,0.129774421,0.235888273,0.259567797,0.356374472,0.148169458,0.21827434,0.312659264,0.306708306,0.16235812,0.229664803,0.239383653,0.403317988,0.127633572,0.254525512,0.22890842,0.414190978,0.102375075,0.221628264,0.317825735,0.308011293,0.152534723,0.221440896,0.254735827,0.418883562,0.104939722,0.233645126,0.259205967,0.404854,0.102294907,0.214770257,0.307261497,0.305346966,0.17262128,0.237258971,0.225207046,0.388944298,0.148589686,0.276107073,0.19759351,0.423841476,0.102457941
2017,0.212216288,0.267609954,0.374444902,0.145728841,0.216136202,0.279217988,0.375027806,0.129618004,0.208186477,0.255676568,0.373845637,0.162291318,0.203176573,0.293355703,0.338946849,0.164520875,0.223652482,0.248031124,0.392370939,0.135945469,0.216310441,0.234105423,0.427761972,0.121822171,0.208947897,0.30677411,0.339488536,0.144789472,0.243623003,0.243609503,0.408753902,0.104013585,0.204776198,0.2527349,0.423371732,0.119117185,0.19712463,0.279284894,0.338378817,0.185211644,0.204355061,0.25230369,0.376540154,0.16680108,0.228217587,0.214873657,0.43229416,0.124614604
2018,0.201728821,0.253078252,0.393936396,0.151256517,0.201519355,0.269878238,0.393612027,0.134990379,0.201943889,0.235829368,0.394269437,0.167957306,0.185298502,0.290290415,0.350124389,0.174286693,0.216296867,0.220716298,0.434958518,0.128028318,0.221303716,0.218681589,0.433635026,0.126379684,0.188592717,0.303896904,0.352421224,0.155089155,0.218153656,0.235878289,0.42814973,0.117818333,0.19983843,0.247241959,0.444494367,0.108425237,0.181831181,0.275968879,0.347706884,0.19449307,0.21453622,0.20633924,0.441414803,0.137709752,0.2434282,0.189244151,0.422442168,0.14488548
2019,0.18075484,0.262012899,0.392376691,0.16485557,0.185635045,0.274664074,0.387198716,0.152502164,0.175758272,0.249060094,0.397678107,0.177503526,0.167569667,0.295761764,0.344718784,0.19194977,0.194955438,0.236928716,0.440767318,0.127348512,0.191954643,0.230900168,0.432709336,0.144435853,0.173714727,0.306516111,0.343154848,0.176614344,0.215708658,0.23589313,0.438889563,0.109508663,0.1870583,0.261595756,0.413329154,0.13801679,0.161117136,0.284469396,0.346360981,0.208052486,0.174410418,0.237953916,0.442626268,0.145009413,0.196978912,0.199402511,0.452595919,0.151022643
2020,0.21533151,0.233766958,0.398628712,0.15227282,0.217152074,0.24756068,0.39505747,0.140229791,0.213471472,0.21967417,0.40227741,0.164576948,0.200016513,0.267940909,0.357780218,0.17426236,0.238376781,0.180932343,0.440938771,0.139752105,0.220313162,0.221178606,0.430347651,0.128160581,0.199940607,0.278828353,0.360576749,0.160654292,0.26116994,0.192022771,0.441297024,0.105510265,0.220611826,0.237818062,0.415412784,0.126157314,0.200096682,0.256442249,0.354826689,0.188634381,0.216027215,0.170057759,0.440587461,0.17332755,0.220007882,0.204171494,0.44561252,0.130208105
